date,title,dollar,opp1,opp2,winner,opp1_rank,opp1_age,opp1_year_pro,opp1_first_serve,opp1_first_serve_points_won,opp1_second_serve_points_won,opp1_break_points_saved,opp1_service_points_won,opp1_total_service_points_won,opp1_first_serve_return_points_won,opp1_second_serve_return_points_won,opp1_break_points_converted,opp1_return_games_won,opp1_return_points_won,opp1_total_points_won,opp2_rank,opp2_age,opp2_year_pro,opp2_first_serve,opp2_first_serve_points_won,opp2_second_serve_points_won,opp2_break_points_saved,opp2_service_points_won,opp2_total_service_points_won,opp2_first_serve_return_points_won,opp2_second_serve_return_points_won,opp2_break_points_converted,opp2_return_games_won,opp2_return_points_won,opp2_total_points_won,opp1_overall_wl_rolling,opp2_overall_wl_rolling,opp1_surface_winloss,opp2_surface_winloss,opp1_surfaceType_winloss,opp2_surfaceType_winloss,opp1_set_win_ratio,opp2_set_win_ratio,opp1_vs_opp2_win_rate,opp2_vs_opp1_win_rate,opp1_set1_win_rate,opp1_set2_win_rate,opp1_set3_win_rate,opp1_set4_win_rate,opp1_set5_win_rate,opp2_set1_win_rate,opp2_set2_win_rate,opp2_set3_win_rate,opp2_set4_win_rate,opp2_set5_win_rate,first_set_winner,opp1_vs_weight,opp2_vs_weight,opp1_vs_height,opp2_vs_height,opp1_vs_opp2_hand,opp2_vs_opp1_hand,opp1_vs_opp2_backhand,opp2_vs_opp1_backhand,opp1_after_winning_first_set,opp2_after_winning_first_set,opp1_after_losing_first_set,opp2_after_losing_first_set
2016.01.04,Brisbane,1,Milos Raonic,Roger Federer,1,10.0,10,8.0,6,8,6,7,9,7,3,5,4,2,4,5,8,7,10.0,6,8,6,6,9,7,3,5,4,2,4,5,7.0,8.0,7.0,8.0,7.0,8.0,6.0,4.0,6.0,4.0,7.0,6.0,5.0,4.0,4.0,7.0,6.0,6.0,4.0,5.0,1.0,7.0,8.0,10.0,10.0,7.0,7.0,8.0,8.0,8.0,9.0,2.0,2.0
2016.01.04,Brisbane,1,Roger Federer,Dominic Thiem,1,8.0,7,10.0,6,8,6,6,9,7,3,5,4,2,4,5,9,9,9.0,6,7,5,6,8,7,3,5,4,2,4,5,8.0,7.0,8.0,7.0,8.0,6.0,5.0,5.0,5.0,5.0,7.0,6.0,6.0,4.0,5.0,5.0,6.0,6.0,5.0,4.0,1.0,6.0,8.0,6.0,9.0,7.0,8.0,6.0,9.0,9.0,10.0,2.0,4.0
2016.01.04,Brisbane,1,Milos Raonic,Bernard Tomic,1,10.0,10,8.0,6,8,6,7,9,7,3,5,4,2,4,5,8,9,9.0,7,7,5,6,8,6,3,5,4,2,4,5,7.0,5.0,7.0,5.0,7.0,5.0,6.0,4.0,6.0,4.0,7.0,6.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,1.0,7.0,5.0,10.0,6.0,7.0,5.0,7.0,5.0,8.0,8.0,2.0,2.0
2016.01.04,Brisbane,1,Grigor Dimitrov,Roger Federer,2,8.0,10,8.0,6,7,5,6,8,6,3,5,4,2,4,5,8,7,10.0,6,8,6,6,9,7,3,5,4,2,4,5,6.0,8.0,6.0,8.0,7.0,8.0,4.0,6.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,7.0,6.0,6.0,4.0,5.0,2.0,8.0,6.0,3.0,10.0,6.0,7.0,7.0,6.0,8.0,9.0,3.0,2.0
2016.01.04,Brisbane,1,Kei Nishikori,Bernard Tomic,2,10.0,10,8.0,6,7,6,7,8,7,3,5,4,3,4,5,8,9,9.0,7,7,5,6,8,6,3,5,4,2,4,5,7.0,5.0,7.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,10.0,0.0,10.0,1.0,7.0,5.0,7.0,5.0,9.0,8.0,5.0,2.0
2016.01.04,Brisbane,1,Dominic Thiem,Marin Cilic,1,9.0,9,9.0,6,7,5,6,8,7,3,5,4,2,4,5,9,10,8.0,6,8,6,6,9,7,3,5,4,2,4,5,7.0,7.0,7.0,7.0,6.0,7.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,4.0,4.0,4.0,2.0,8.0,10.0,9.0,2.0,8.0,6.0,6.0,7.0,10.0,9.0,4.0,3.0
2016.01.04,Brisbane,1,Milos Raonic,Lucas Pouille,1,10.0,10,8.0,6,8,6,7,9,7,3,5,4,2,4,5,9,8,10.0,6,7,5,6,8,6,3,5,4,2,4,5,7.0,6.0,7.0,6.0,7.0,6.0,6.0,4.0,6.0,4.0,7.0,6.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,1.0,7.0,6.0,10.0,8.0,7.0,6.0,7.0,6.0,8.0,9.0,2.0,3.0
2016.01.04,Brisbane,1,Tobias Kamke,Roger Federer,2,5.0,9,9.0,6,6,5,5,7,6,3,5,5,3,4,5,8,7,10.0,6,8,6,6,9,7,3,5,4,2,4,5,5.0,8.0,5.0,8.0,5.0,8.0,2.0,8.0,2.0,8.0,5.0,5.0,4.0,3.0,4.0,7.0,6.0,6.0,4.0,5.0,2.0,7.0,6.0,7.0,6.0,5.0,7.0,6.0,8.0,8.0,9.0,1.0,2.0
2016.01.04,Brisbane,1,Mikhail Kukushkin,Kei Nishikori,2,5.0,10,8.0,6,6,5,6,7,6,3,5,4,2,4,5,10,10,8.0,6,7,6,7,8,7,3,5,4,3,4,5,4.0,7.0,4.0,7.0,4.0,7.0,3.0,7.0,3.0,7.0,4.0,4.0,3.0,3.0,3.0,6.0,6.0,6.0,5.0,5.0,2.0,0.0,7.0,4.0,10.0,4.0,7.0,4.0,7.0,7.0,9.0,1.0,5.0
2016.01.04,Brisbane,1,Hyeon Chung,Marin Cilic,2,5.0,7,10.0,7,6,5,5,7,6,3,5,4,2,4,5,9,10,8.0,6,8,6,6,9,7,3,5,4,2,4,5,3.0,7.0,5.0,7.0,2.0,7.0,4.0,6.0,4.0,6.0,2.0,3.0,4.0,5.0,5.0,6.0,6.0,4.0,4.0,4.0,2.0,4.0,10.0,6.0,2.0,3.0,6.0,2.0,7.0,8.0,9.0,2.0,3.0
